query_id,query,type,has_adversarial,expected,top1_file,top1_cosine,query_ms,top1_hit,recall_at_1,recall_at_3,recall_at_10,reciprocal_rank,adv_precision_pass,adv_rank_gap,adv_gap_by_type
Q11,How does the broker periodically clean up logs based on retention policy?,BEHAVIOURAL,true,core/src/main/scala/kafka/log/LogManager.scala,core/src/main/scala/kafka/log/LogCleaner.scala,0.6073,12,false,0.0000,1.0000,1.0000,0.5000,false,-1,CHILD=1|SIBLING=-1
Q12,How is a Kafka broker server initialized and started up with all its components?,CROSS_CUTTING,true,core/src/main/scala/kafka/server/BrokerServer.scala,core/src/main/scala/kafka/server/DynamicBrokerConfig.scala,0.6497,14,false,0.0000,0.0000,1.0000,0.2500,true,no_adv_retrieved,
Q13,How does the broker detect duplicate batches from an idempotent producer?,BEHAVIOURAL,true,storage/src/main/java/org/apache/kafka/storage/internals/log/ProducerStateManager.java,core/src/main/scala/kafka/cluster/Partition.scala,0.5936,12,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q14,How does Kafka guarantee exactly-once delivery for stream-processing applications?,ANTI_PATTERN,false,core/src/main/scala/kafka/coordinator/transaction/TransactionCoordinator.scala|storage/src/main/java/org/apache/kafka/storage/internals/log/ProducerStateManager.java|storage/src/main/java/org/apache/kafka/storage/internals/log/LogValidator.java|core/src/main/scala/kafka/coordinator/transaction/TransactionMarkerChannelManager.scala,core/src/main/java/kafka/server/share/DelayedShareFetch.java,0.5653,12,false,0.0000,0.0000,1.0000,0.1111,,,
Q15,Where in the broker is authentication and authorization implemented?,ANTI_PATTERN,false,core/src/main/scala/kafka/server/AclApis.scala|core/src/main/scala/kafka/server/AuthHelper.scala|core/src/main/scala/kafka/server/DelegationTokenManager.scala|core/src/main/scala/kafka/server/metadata/AclPublisher.scala|core/src/main/scala/kafka/server/metadata/ScramPublisher.scala|core/src/main/scala/kafka/server/metadata/DelegationTokenPublisher.scala,core/src/main/scala/kafka/server/KafkaApis.scala,0.6512,11,false,0.0000,0.0000,0.0000,0.0000,,,
Q16,How does the broker cache an incremental fetch session between consumer requests?,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/FetchSession.scala,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,0.6114,10,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q17,How does the Raft layer represent the current set of voters in the cluster?,DIRECT_CONCEPT,true,raft/src/main/java/org/apache/kafka/raft/VoterSet.java,raft/src/main/java/org/apache/kafka/raft/internals/EpochElection.java,0.6066,11,false,0.0000,1.0000,1.0000,0.5000,true,6,PARENT=6
Q18,How does an incoming Produce request flow through the broker from the network thread to the log?,CROSS_CUTTING,true,core/src/main/scala/kafka/server/ReplicaManager.scala,core/src/main/scala/kafka/network/RequestChannel.scala,0.6190,11,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q19,How does the broker rate-limit individual clients exceeding their configured quota?,CROSS_CUTTING,true,core/src/main/scala/kafka/server/ClientQuotaManager.scala,server/src/main/java/org/apache/kafka/network/SocketServerConfigs.java,0.5993,11,false,0.0000,1.0000,1.0000,0.5000,true,3,SIBLING=3
Q20,How is a single log segment file structured on disk and accessed by the broker?,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/LogSegment.java,storage/src/main/java/org/apache/kafka/storage/internals/log/LogLoader.java,0.6285,11,false,0.0000,1.0000,1.0000,0.3333,true,no_adv_retrieved,
Q21,How does the KRaft controller handle a topic-creation request and persist it to the metadata log?,CROSS_CUTTING,true,metadata/src/main/java/org/apache/kafka/controller/QuorumController.java,core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,0.6821,11,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q22,How does the broker delay a Produce request until enough replicas have acknowledged?,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/DelayedProduce.scala,core/src/main/scala/kafka/cluster/Replica.scala,0.6522,11,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q23,How does the broker recover its log state from disk on startup?,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/LogLoader.java,core/src/main/scala/kafka/server/KafkaBroker.scala,0.6288,11,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q24,How does the broker apply a record batch to update its in-memory metadata image?,BEHAVIOURAL,true,metadata/src/main/java/org/apache/kafka/image/MetadataDelta.java,core/src/main/scala/kafka/server/BrokerServer.scala,0.6201,11,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q25,How does the broker manage the pool of fetcher threads pulling from leader replicas?,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/ReplicaFetcherManager.scala,core/src/main/scala/kafka/server/ReplicaManager.scala,0.6295,11,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q26,How does the broker negotiate API versions with a connecting client?,BEHAVIOURAL,true,core/src/main/scala/kafka/server/ApiVersionManager.scala,server-common/src/main/java/org/apache/kafka/server/util/InterBrokerSendThread.java,0.5812,11,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q27,How are metadata-image updates broadcast to interested broker components?,CROSS_CUTTING,true,core/src/main/scala/kafka/server/metadata/BrokerMetadataPublisher.scala,metadata/src/main/java/org/apache/kafka/image/ClusterDelta.java,0.5905,12,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q28,How does a Kafka broker gracefully shut down all its components?,ANTI_PATTERN,false,core/src/main/scala/kafka/server/BrokerServer.scala|core/src/main/scala/kafka/server/ReplicaManager.scala|core/src/main/scala/kafka/log/LogManager.scala|core/src/main/scala/kafka/coordinator/group/GroupCoordinator.scala|core/src/main/scala/kafka/network/SocketServer.scala,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,0.6613,13,false,0.0000,0.0000,0.0000,0.0000,,,
Q29,What happens inside a partition object when the controller assigns it a new leader?,BEHAVIOURAL,true,core/src/main/scala/kafka/cluster/Partition.scala,core/src/main/scala/kafka/server/ReplicaManager.scala,0.6532,13,false,0.0000,1.0000,1.0000,0.5000,false,-1,PARENT=-1
Q30,What information does the broker store to identify a single log offset within a segment?,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/LogOffsetMetadata.java,storage/src/main/java/org/apache/kafka/storage/internals/log/UnifiedLog.java,0.6459,13,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
